Origen;Destino;Longitud de interestaci¢n;;
Pantitl n;Zaragoza;1.320;;
Zaragoza;G¢mez Far¡as;762;;
G¢mez Far¡as;Boulevard Puerto A‚reo;611;;
Boulevard Puerto A‚reo;Balbuena;595;;
Balbuena;Moctezuma;703;;
Moctezuma;San L zaro;478;;
San L zaro;Candelaria;866;;
Candelaria;Merced;698;;
Merced;Pino Su rez;745;;
Pino Su rez;Isabel la Cat¢lica;382;;
Isabel la Cat¢lica;Salto del Agua;445;;
Salto del Agua;Balderas;458;;
Balderas;Cuauht‚moc;409;;
Cuauht‚moc;Insurgentes;793;;
Insurgentes;Sevilla;645;;
Sevilla;Chapultepec;501;;
Chapultepec;Juanacatl n;973;;
Juanacatl n;Tacubaya;1.158;;
Tacubaya;Observatorio;1.262;;
Cuatro Caminos;Panteones;1.639;;
Panteones;Tacuba;1.416;;
Tacuba;Cuitl huac;637;;
Cuitl huac;Popotla;620;;
Popotla;Colegio Militar;462;;
Colegio Militar;Normal;516;;
Normal;San Cosme;657;;
San Cosme;Revoluci¢n;537;;
Revoluci¢n;Hidalgo;587;;
Hidalgo;Bellas Artes;447;;
Bellas Artes;Allende;387;;
Allende;Z¢calo;602;;
Z¢calo;Pino Su rez;745;;
Pino Su rez;San Antonio Abad;817;;
San Antonio Abad;Chabacano;642;;
Chabacano;Viaducto;774;;
Viaducto;Xola;490;;
Xola;Villa de Cort‚s;698;;
Villa de Cort‚s;Nativitas;750;;
Nativitas;Portales;924;;
Portales;Ermita;748;;
Ermita;General Anaya;838;;
General Anaya;Tasque¤a;1.330;;
Indios Verdes;Deportivo 18 de Marzo;1.166;;
Deportivo 18 de Marzo;Potrero;966;;
Potrero;La Raza;1.106;;
La Raza;Tlatelolco;1.445;;
Tlatelolco;Guerrero;1.042;;
Guerrero;Hidalgo;702;;
Hidalgo;Ju rez;251;;
Ju rez;Balderas;659;;
Balderas;Ni¤os H‚roes;665;;
Ni¤os H‚roes;Hospital General;559;;
Hospital General;Centro M‚dico;653;;
Centro M‚dico;Etiop¡a/Plaza de la Transparencia;1.119;;
Etiop¡a/Plaza de la Transparencia;Eugenia;950;;
Eugenia;Divisi¢n del Norte;715;;
Divisi¢n del Norte;Zapata;794;;
Zapata;Coyoac n;1.153;;
Coyoac n;Viveros/Derechos Humanos;908;;
Viveros/Derechos Humanos;Miguel µngel de Quevedo;824;;
Miguel µngel de Quevedo;Copilco;1.295;;
Copilco;Universidad;1.306;;
Santa Anita;Jamaica;758;;
Jamaica;Fray Servando;1.033;;
Fray Servando;Candelaria;633;;
Candelaria;Morelos;1.062;;
Morelos;Canal del Norte;910;;
Canal del Norte;Consulado;884;;
Consulado;Bondojito;645;;
Bondojito;Talism n;959;;
Talism n;Mart¡n Carrera;1.129;;
Polit‚cnico;Instituto del Petr¢leo;1.188;;
Instituto del Petr¢leo;Autobuses del Norte;1.067;;
Autobuses del Norte;La Raza;975;;
La Raza;Misterios;892;;
Misterios;Valle G¢mez;969;;
Valle G¢mez;Consulado;679;;
Consulado;Eduardo Molina;815;;
Eduardo Molina;Arag¢n;860;;
Arag¢n;Ocean¡a;1.219;;
Ocean¡a;Terminal A‚rea;1.174;;
Terminal A‚rea;Hangares;1.153;;
Hangares;Pantitl n;1.644;;
El Rosario;Tezoz¢moc;1.257;;
Tezoz¢moc;Azcapotzalco;973;;
Azcapotzalco;Ferrer¡a;1.173;;
Ferrer¡a;Norte 45;1.072;;
Norte 45;Vallejo;660;;
Vallejo;Instituto del Petr¢leo;755;;
Instituto del Petr¢leo;Lindavista;1.258;;
Lindavista;Deportivo 18 de Marzo;1.075;;
Deportivo 18 de Marzo;La Villa ? Bas¡lica;570;;
La Villa ? Bas¡lica;Mart¡n Carrera;1.141;;
El Rosario;Aqu¡les Serd n;1.615;;
Aqu¡les Serd n;Camarones;1.402;;
Camarones;Refiner¡a;952;;
Refiner¡a;Tacuba;1.295;;
Tacuba;San Joaqu¡n;1.433;;
San Joaqu¡n;Polanco;1.163;;
Polanco;Auditorio;812;;
Auditorio;Constituyentes;1.430;;
Constituyentes;Tacubaya;1.005;;
Tacubaya;San Pedro de los Pinos;1.084;;
San Pedro de los Pinos;San Antonio;606;;
San Antonio;Mixcoac;788;;
Mixcoac;Barranca del Muerto;1.476;;
Garibaldi;Bellas Artes;634;;
Bellas Artes;San Juan de Letr n;456;;
San Juan de Letr n;Salto del Agua;292;;
Salto del Agua;Doctores;564;;
Doctores;Obrera;761;;
Obrera;Chabacano;1.143;;
Chabacano;La Viga;843;;
La Viga;Santa Anita;633;;
Santa Anita;Coyuya;968;;
Coyuya;Iztacalco;993;;
Iztacalco;Apatlaco;910;;
Apatlaco;Aculco;534;;
Aculco;Escuadr¢n 201;789;;
Escuadr¢n 201;Atlalilco;1.738;;
Atlalilco;Iztapalapa;732;;
Iztapalapa;Cerro de la Estrella;717;;
Cerro de la Estrella;UAM I;1.135;;
UAM I;Constituci¢n de 1917;1.137;;
Pantitl n;Puebla;1.380;;
Puebla;Ciudad Deportiva;800;;
Ciudad Deportiva;Vel¢dromo;1.110;;
Vel¢dromo;Mixiuhca;821;;
Mixiuhca;Jamaica;942;;
Jamaica;Chabacano;1.031;;
Chabacano;L zaro Cardenas;1.000;;
L zaro Cardenas;Centro M‚dico;1.059;;
Centro M‚dico;Chilpancingo;1.152;;
Chilpancingo;Patriotismo;955;;
Patriotismo;Tacubaya;1.133;;
Pantitl n;Agr¡cola Oriental;1.409;;
Agr¡cola Oriental;Canal de San Juan;1.093;;
Canal de San Juan;Tepalcates;1.456;;
Tepalcates;Guelatao;1.161;;
Guelatao;Pe¤¢n Viejo;2.206;;
Pe¤¢n Viejo;Acatitla;1.379;;
Acatitla;Santa Marta;1.100;;
